epoch,train_loss,val_loss,val_accuracy,val_f1,learning_rate
1,0.9194665948209916,0.2939063608646393,0.9070165157318115,0.9111340448926674,2.7783240555035474e-05
2,0.19791734971756816,0.17199110984802246,0.9634911417961121,0.9646779832390285,4.9786765919307457e-05
3,0.1438057423599476,0.11759769916534424,0.9794637560844421,0.980402621388105,8.220482651572816e-05
4,0.10855194268114002,0.16933827102184296,0.9703365564346313,0.972955966207177,0.0001194303653676384
5,0.10418481479407207,0.11097882688045502,0.9828864932060242,0.9833461304202604,0.00015502481972669966
6,0.0862757460472843,0.10261774063110352,0.9874500632286072,0.9876090958080551,0.00018283174068842737
7,0.08174722713370161,0.08152089267969131,0.9925841689109802,0.9931254040748789,0.00019804161814304406
8,0.07297223890289903,0.07619205117225647,0.9942954778671265,0.9943888294040648,0.00019993146281148058
9,0.06770727381561742,0.0916823148727417,0.9908728003501892,0.9915504435332909,0.00019938559569594039
10,0.06404032330541687,0.07863672077655792,0.9931545853614807,0.9934938269130572,0.00019829746508613145
11,0.060546796993882046,0.07422240078449249,0.9954363703727722,0.9958502044720514,0.00019667301397411176
12,0.05764257639912148,0.07346460968255997,0.9942954778671265,0.9948164774332708,0.00019452111454854178
13,0.05707209061412888,0.0758034884929657,0.9931545853614807,0.9933443018807427,0.00019185351973786637
14,0.05572178132739084,0.07076828181743622,0.9965773224830627,0.9968897996695484,0.00018868479901989538
15,0.05568231247538126,0.07462848722934723,0.9954363703727722,0.9957089665937673,0.0001850322588483681
16,0.05473494007333502,0.07161837071180344,0.9948659539222717,0.9951893565086661,0.0001809158481311043
17,0.054246909999804915,0.07134677469730377,0.9948659539222717,0.9951917879162462,0.00017635804927598742
18,0.05386618183391192,0.07034452259540558,0.9948659539222717,0.9951893622946254,0.00017138375539984903
19,0.05357964151444282,0.07293079048395157,0.9954363703727722,0.9958531819466168,0.00016602013437089688
20,0.05344712082024351,0.07009746879339218,0.9942954778671265,0.9946716158047718,0.0001602964804272398
21,0.05327116163258246,0.07090064138174057,0.9948659539222717,0.9951893565086661,0.00015424405418191755
22,0.053158385670758826,0.0721215009689331,0.9942954778671265,0.9946716158047718,0.00014789591188827262
23,0.0530740946058496,0.07263236492872238,0.9942954778671265,0.9946716158047718,0.00014128672489815766
24,0.05301941856635658,0.0727817565202713,0.9942954778671265,0.9946716158047718,0.0001344525902990345
25,0.053000016629749014,0.07269719988107681,0.9942954778671265,0.9946716158047718,0.00012743083376419987
26,0.05300596553985023,0.07264631241559982,0.9942954778671265,0.9946716158047718,0.00012025980569290146
27,0.05298950614165282,0.07277043908834457,0.9942954778671265,0.9946716158047718,0.00011297867175375604
28,0.0529906776071976,0.07284049689769745,0.9942954778671265,0.9946716158047718,0.00010562719897544892
29,0.05295171472398355,0.07275911420583725,0.9942954778671265,0.9946716158047718,9.824553855301336e-05
30,0.0529737894736403,0.07285839319229126,0.9942954778671265,0.9946716158047718,9.087400655592674e-05
31,0.05297317524857274,0.07276669889688492,0.9942954778671265,0.9946716158047718,8.35528637357194e-05
32,0.05297155651896395,0.07274338603019714,0.9942954778671265,0.9946716158047718,7.632209563571099e-05
33,0.05299873036390532,0.07270032912492752,0.9942954778671265,0.9946716158047718,6.922119420383896e-05
34,0.052971760516923164,0.07293321192264557,0.9942954778671265,0.9946716158047718,6.228894210133341e-05
35,0.0529791104203877,0.07283179461956024,0.9942954778671265,0.9946716158047718,5.556320088527023e-05
36,0.05299073889745323,0.07274096459150314,0.9942954778671265,0.9946716158047718,4.90807042218757e-05
37,0.05298402998271048,0.07299047708511353,0.9942954778671265,0.9946716158047718,4.287685725997966e-05
38,0.05298254699046174,0.07295078039169312,0.9942954778671265,0.9946716158047718,3.69855432603702e-05
39,0.05299267516151044,0.07300050556659698,0.9942954778671265,0.9946716158047718,3.143893853717303e-05
40,0.05297428960574927,0.07293737679719925,0.9942954778671265,0.9946716158047718,2.626733672198126e-05
41,0.05298269625281692,0.07287324219942093,0.9942954778671265,0.9946716158047718,2.1498983310545008e-05
42,0.05298827251436026,0.07295947521924973,0.9942954778671265,0.9946716158047718,1.7159921395668147e-05
43,0.053002690127295395,0.07296030223369598,0.9942954778671265,0.9946716158047718,1.3273849428866373e-05
44,0.0529793030278568,0.07286637276411057,0.9942954778671265,0.9946716158047718,9.86199178764302e-06
45,0.05298476497650997,0.07284639775753021,0.9942954778671265,0.9946716158047718,6.942982855299238e-06
46,0.05299248659116699,0.07289379090070724,0.9942954778671265,0.9946716158047718,4.532765246394162e-06
47,0.05298257638638882,0.07285742461681366,0.9942954778671265,0.9946716158047718,2.6445027337126646e-06
48,0.05298011547050799,0.07289410382509232,0.9942954778671265,0.9946716158047718,1.2885083523032313e-06
49,0.05297342501169008,0.07286584377288818,0.9942954778671265,0.9946716158047718,4.721880732568288e-07
50,0.052972340087627134,0.07286582142114639,0.9942954778671265,0.9946716158047718,2.0000035486092927e-07
